text,expected_entities,anonymized_text,detected_entities,sensitivity_level
"Contrat de location :
- Locataire : Michel Nicolas
- CIN : OH21740
- Téléphone : +212683670355
- Adresse : 174, rue Sauvage, 28919 Becker
- Email : samsonsuzanne@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- <PERSON> : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Téléphone : +<IN_AADHAAR>
- Adresse : 174, rue Sauvage, 28919 <PERSON>
- Email : <EMAIL_ADDRESS>","['IN_AADHAAR', 'EMAIL_ADDRESS', 'PERSON', 'PERSON', 'PERSON', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'moyen', 'moyen', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Document d'identité :
- Nom : Patrick Coulon
- CIN : FD50181
- Date de naissance : 14/03/1956
- Adresse : 332, rue Hortense Toussaint, 75319 Lesage","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 332, rue <PERSON>, <DATE_TIME> Lesage","['DATE_TIME', 'PERSON', 'PERSON', 'DATE_TIME', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'moyen', 'faible', 'faible']"
"Transaction #440293:
- Client : Benjamin-Isaac Salmon
- Montant : 974 MAD
- Destinataire : IBAN FR1558293243897401394110547
- Date : 2025-04-14","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON> : 974 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Transaction #335654:
- Client : Brigitte Langlois-Guillon
- Montant : 4658 MAD
- Destinataire : IBAN FR6739984097790548165449216
- Date : 2025-04-18","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON>
- Montant : 4658 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Document d'identité :
- Nom : Frédérique Le Hubert
- CIN : KX90552
- Date de naissance : 17/09/1937
- Adresse : 4, rue Antoine, 09997 Saint Rogerboeuf","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <IN_PAN> Le Hubert
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 4, <PERSON>, <DATE_TIME> Saint Rogerboeuf","['DATE_TIME', 'PERSON', 'DATE_TIME', 'US_DRIVER_LICENSE', 'IN_PAN']","['faible', 'moyen', 'faible', 'faible', 'faible']"
"Email de Ribeiro :
Objet : Facture #126077
Bonjour Constance Renaud, votre paiement par carte Diners Club / Carte Blanche terminée par 5709 a été enregistré le 2025-05-21.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']","<PERSON> :
Objet : Facture #<US_DRIVER_LICENSE>
<PERSON>, votre paiement par carte Diners Club / Carte Blanche terminée par 5709 a été <IN_PAN> le <DATE_TIME>.","['PERSON', 'PERSON', 'DATE_TIME', 'IN_PAN', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'faible', 'faible', 'faible']"
"Document d'identité :
- Nom : Anouk-Lucy Olivier
- CIN : EC07939
- Date de naissance : 31/05/1949
- Adresse : 49, boulevard de Barthelemy, 13157 Tanguy","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON> <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 49, boulevard de <IN_PAN>, <DATE_TIME> <LOCATION>","['DATE_TIME', 'PERSON', 'DATE_TIME', 'LOCATION', 'US_DRIVER_LICENSE', 'IN_PAN', 'IN_PAN']","['faible', 'moyen', 'faible', 'faible', 'faible', 'faible', 'faible']"
"Document d'identité :
- Nom : Christiane Guyot
- CIN : AR65490
- Date de naissance : 03/05/1995
- Adresse : 310, avenue de Carre, 67492 Baron-sur-Bruneau","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON> CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 310, avenue de Carre, 67492 Baron-sur-Bruneau","['DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE', 'IN_PAN']","['faible', 'moyen', 'faible', 'faible']"
"Contrat de location :
- Locataire : Richard Gallet
- CIN : CN38209
- Téléphone : +212604579531
- Adresse : boulevard Emmanuelle De Sousa, 67562 Nguyendan
- Email : nicole01@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- <PERSON> : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : boulevard <PERSON>, 67562 <PERSON>
- Email : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'IN_PAN', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'moyen', 'moyen', 'moyen', 'moyen', 'faible', 'faible', 'faible', 'faible', 'faible']"
"Document d'identité :
- Nom : François du Martel
- CIN : OJ78470
- Date de naissance : 04/04/2024
- Adresse : 48, avenue Gabriel Bouvet, 87412 Gonzalezdan","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : François du Martel
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 48, avenue <PERSON>, <DATE_TIME> <PERSON>","['DATE_TIME', 'PERSON', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'faible', 'moyen', 'faible']"
"Document d'identité :
- Nom : Dorothée Mahe
- CIN : DD45404
- Date de naissance : 10/02/2013
- Adresse : 85, chemin de Turpin, 08739 Imbertdan","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 85, chemin <PERSON>, <PERSON>","['DATE_TIME', 'PERSON', 'PERSON', 'PERSON', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'moyen', 'moyen', 'faible']"
"Transaction #144002:
- Client : Isabelle Martel
- Montant : 8771 MAD
- Destinataire : IBAN FR7013920175880598403810976
- Date : 2025-02-08","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON>
- Montant : 8771 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Contrat de location :
- Locataire : Vincent-Émile Poirier
- CIN : ZM06324
- Téléphone : +212664134136
- Adresse : 69, chemin Seguin, 22950 LopesBourg
- Email : carreetienne@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- <PERSON> : Vincent-Émile <PERSON> CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : 69, chemin <PERSON>, 22950 LopesBourg
- Email : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'PERSON', 'PERSON', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'moyen', 'moyen', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Transaction #681581:
- Client : Nicolas Legrand
- Montant : 9111 MAD
- Destinataire : IBAN FR4417847491916535140420147
- Date : 2025-04-12","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON>
- Montant : 9111 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Email de Loiseau :
Objet : Facture #18736
Bonjour Aimé Dubois, votre paiement par carte VISA 16 digit terminée par 3201 a été enregistré le 2025-05-05.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']","<PERSON> :
Objet : Facture #18736
<LOCATION>, votre paiement par carte VISA 16 digit terminée par 3201 a été <IN_PAN> le <DATE_TIME>.","['PERSON', 'LOCATION', 'DATE_TIME', 'IN_PAN']","['moyen', 'faible', 'faible', 'faible']"
"Transaction #554979:
- Client : Grégoire Lacombe
- Montant : 776 MAD
- Destinataire : IBAN FR2144744854008823191739963
- Date : 2025-02-11","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON> : 776 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Contrat de location :
- Locataire : Laurent de la Petitjean
- CIN : WB37806
- Téléphone : +212611521253
- Adresse : 29, rue Sophie Dos Santos, 19711 PelletierVille
- Email : jacqueline06@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- <PERSON> : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : 29, rue <PERSON>, 19711 PelletierVille
- Email : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'PERSON', 'PERSON', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'moyen', 'moyen', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Contrat de location :
- Locataire : Émilie de Alexandre
- CIN : IO92832
- Téléphone : +212607748830
- Adresse : 96, boulevard Andre, 43951 Bouvier
- Email : hteixeira@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- Locataire : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : 96, boulevard Andre, <DATE_TIME> Bouvier
- Email : <EMAIL_ADDRESS>","['IN_AADHAAR', 'EMAIL_ADDRESS', 'PERSON', 'DATE_TIME', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'moyen', 'faible', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Email de Guyon SARL :
Objet : Facture #232254
Bonjour Célina Poirier-Antoine, votre paiement par carte Diners Club / Carte Blanche terminée par 3498 a été enregistré le 2025-05-16.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']","<PERSON>
Objet : Facture #<US_DRIVER_LICENSE>
Bonjour <PERSON>, votre paiement par carte Diners Club / Carte Blanche terminée par 3498 a été <IN_PAN> le <DATE_TIME>.","['PERSON', 'PERSON', 'DATE_TIME', 'IN_PAN', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'faible', 'faible', 'faible']"
"Document d'identité :
- Nom : Léon Blondel
- CIN : UG45968
- Date de naissance : 31/12/1991
- Adresse : boulevard Rémy Benard, 31709 DuhamelBourg","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : Léon Blondel
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : boulevard <PERSON>, 31709 DuhamelBourg","['DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'faible']"
"Email de Aubert Ferrand S.A.S. :
Objet : Facture #356677
Bonjour Claudine Lenoir, votre paiement par carte Discover terminée par 4669 a été enregistré le 2025-05-08.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']","<PERSON> :
Objet : Facture #<PHONE_NUMBER>
<PERSON> Lenoir, votre paiement par carte Discover terminée par 4669 a été <IN_PAN> le <DATE_TIME>.","['PERSON', 'PERSON', 'DATE_TIME', 'PHONE_NUMBER', 'IN_PAN', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'faible', 'moyen', 'faible', 'faible']"
"Document d'identité :
- Nom : Élise Le Fontaine
- CIN : PV71442
- Date de naissance : 01/02/1935
- Adresse : 11, avenue de Godard, 30611 Roux","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : Élise Le Fontaine
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 11, avenue de Godard, <DATE_TIME> Roux","['DATE_TIME', 'DATE_TIME', 'US_DRIVER_LICENSE']","['faible', 'faible', 'faible']"
"Transaction #188554:
- Client : Auguste-Frédéric Joseph
- Montant : 9940 MAD
- Destinataire : IBAN FR5633286208695657282391533
- Date : 2025-01-26","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON> : 9940 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Document d'identité :
- Nom : Aurélie Grenier
- CIN : LE50483
- Date de naissance : 14/02/1944
- Adresse : 51, boulevard Clémence Léger, 51670 Muller-sur-Munoz","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON> : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 51, boulevard Clémence Léger, 51670 Muller-sur-Munoz","['DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'faible']"
"Document d'identité :
- Nom : Grégoire Barre
- CIN : GH77544
- Date de naissance : 31/10/1999
- Adresse : 69, avenue Julien Blondel, 39595 Gilbert","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 69, avenue <PERSON>, 39595 Gilbert","['DATE_TIME', 'PERSON', 'PERSON', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'moyen', 'faible']"
"Contrat de location :
- Locataire : Charles Evrard
- CIN : OJ04565
- Téléphone : +212609886765
- Adresse : 46, avenue Zacharie Delannoy, 53877 Sainte René
- Email : catherine49@example.net","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- <PERSON> : <PERSON> CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : 46, avenue <PERSON>, 53877 <PERSON> : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'PERSON', 'PERSON', 'PERSON', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'moyen', 'moyen', 'moyen', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Document d'identité :
- Nom : Noël Letellier
- CIN : QY46781
- Date de naissance : 10/12/1942
- Adresse : 35, rue de Pichon, 94463 Rodriguez","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 35, <LOCATION>, 94463 <PERSON>","['DATE_TIME', 'PERSON', 'LOCATION', 'PERSON', 'US_DRIVER_LICENSE']","['faible', 'moyen', 'faible', 'moyen', 'faible']"
"Email de Menard :
Objet : Facture #68867
Bonjour Josette Alves, votre paiement par carte VISA 16 digit terminée par 3176 a été enregistré le 2025-05-16.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']","<PERSON> :
Objet : Facture #68867
<PERSON>, votre paiement par carte VISA 16 digit terminée par 3176 a été <IN_PAN> le <DATE_TIME>.","['PERSON', 'PERSON', 'DATE_TIME', 'IN_PAN']","['moyen', 'moyen', 'faible', 'faible']"
"Email de Thomas :
Objet : Facture #608958
Bonjour Mathilde Pasquier de Legendre, votre paiement par carte American Express terminée par 6344 a été enregistré le 2025-05-18.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']","<PERSON> :
Objet : Facture #<US_DRIVER_LICENSE>
Bonjour Mathilde Pasquier de Legendre, votre paiement par carte American Express terminée par 6344 a été <IN_PAN> le <DATE_TIME>.","['PERSON', 'DATE_TIME', 'IN_PAN', 'US_DRIVER_LICENSE']","['moyen', 'faible', 'faible', 'faible']"
"Transaction #249196:
- Client : Paul Daniel
- Montant : 2490 MAD
- Destinataire : IBAN FR2850094519255848556388209
- Date : 2025-05-21","['PERSON', 'IBAN_CODE', 'DATE_TIME']","Transaction #<US_DRIVER_LICENSE>:
- Client : <PERSON> : 2490 MAD
- Destinataire : IBAN <IBAN_CODE>
- Date : <DATE_TIME>","['IBAN_CODE', 'DATE_TIME', 'PERSON', 'US_DRIVER_LICENSE']","['élevé', 'faible', 'moyen', 'faible']"
"Contrat de location :
- Locataire : Thérèse-Laetitia Jacques
- CIN : GR37369
- Téléphone : +212680183938
- Adresse : 88, boulevard Adrienne Morin, 83140 Hoaraudan
- Email : lucevallee@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- Locataire : Thérèse-Laetitia Jacques
- CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : 88, boulevard <PERSON>, 83140 <LOCATION>
- Email : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'LOCATION', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'faible', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Document d'identité :
- Nom : Éric Fernandez-Leduc
- CIN : DL26927
- Date de naissance : 03/05/1997
- Adresse : 2, chemin Dominique Bertrand, 32808 Maillet-sur-Leduc","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']","Document d'identité :
- Nom : <PERSON> CIN : <US_DRIVER_LICENSE>
- Date de naissance : <DATE_TIME>
- Adresse : 2, chemin <PERSON>, 32808 Maillet-sur-Leduc","['DATE_TIME', 'PERSON', 'PERSON', 'US_DRIVER_LICENSE', 'IN_PAN']","['faible', 'moyen', 'moyen', 'faible', 'faible']"
"Contrat de location :
- Locataire : Brigitte Moreno du Dias
- CIN : EK24066
- Téléphone : +212608219615
- Adresse : boulevard de Bousquet, 94483 Hubert
- Email : pelletierlaurence@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']","Contrat de location :
- <PERSON> : <PERSON>
- CIN : <US_DRIVER_LICENSE>
- Téléphone : <PHONE_NUMBER>
- Adresse : boulevard de Bousquet, <DATE_TIME> <PERSON> : <EMAIL_ADDRESS>","['EMAIL_ADDRESS', 'PERSON', 'PERSON', 'DATE_TIME', 'PERSON', 'PHONE_NUMBER', 'URL', 'US_DRIVER_LICENSE', 'US_BANK_NUMBER', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'moyen', 'faible', 'moyen', 'moyen', 'faible', 'faible', 'faible', 'faible']"
"Email de Mallet Fischer SARL :
Objet : Facture #971551
Bonjour Isaac Georges-Boulay, votre paiement par carte Discover terminée par 5984 a été enregistré le 2025-05-13.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']","<PERSON> SARL :
Objet : Facture #<US_DRIVER_LICENSE>
<LOCATION>, votre paiement par carte Discover terminée par 5984 a été <IN_PAN> le <DATE_TIME>.","['PERSON', 'LOCATION', 'DATE_TIME', 'IN_PAN', 'US_DRIVER_LICENSE']","['moyen', 'faible', 'faible', 'faible', 'faible']"
"Email de Fischer Roussel S.A. :
Objet : Facture #824880
Bonjour Richard Goncalves, votre paiement par carte JCB 16 digit terminée par 2151 a été enregistré le 2025-05-09.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']","<PERSON> :
Objet : Facture #<US_DRIVER_LICENSE>
Bonjour <PERSON>, votre paiement par carte JCB 16 digit terminée par 2151 a été <IN_PAN> le <DATE_TIME>.","['PERSON', 'PERSON', 'DATE_TIME', 'IN_PAN', 'US_DRIVER_LICENSE']","['moyen', 'moyen', 'faible', 'faible', 'faible']"
