text,expected_entities
"Email de Thomas :
Objet : Facture #608958
Bonjour Mathilde Pasquier de Legendre, votre paiement par carte American Express terminée par 6344 a été enregistré le 2025-05-18.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Transaction #249196:
- Client : Paul Daniel
- Montant : 2490 MAD
- Destinataire : IBAN FR2850094519255848556388209
- Date : 2025-05-21","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Contrat de location :
- Locataire : Thérèse-Laetitia Jacques
- CIN : GR37369
- Téléphone : +212680183938
- Adresse : 88, boulevard Adrienne Morin, 83140 Hoaraudan
- Email : lucevallee@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : Éric Fernandez-Leduc
- CIN : DL26927
- Date de naissance : 03/05/1997
- Adresse : 2, chemin Dominique Bertrand, 32808 Maillet-sur-Leduc","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Brigitte Moreno du Dias
- CIN : EK24066
- Téléphone : +212608219615
- Adresse : boulevard de Bousquet, 94483 Hubert
- Email : pelletierlaurence@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Email de Mallet Fischer SARL :
Objet : Facture #971551
Bonjour Isaac Georges-Boulay, votre paiement par carte Discover terminée par 5984 a été enregistré le 2025-05-13.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Fischer Roussel S.A. :
Objet : Facture #824880
Bonjour Richard Goncalves, votre paiement par carte JCB 16 digit terminée par 2151 a été enregistré le 2025-05-09.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Morin et Fils :
Objet : Facture #523644
Bonjour Madeleine Blondel, votre paiement par carte Mastercard terminée par 2602 a été enregistré le 2025-05-17.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Tessier :
Objet : Facture #352821
Bonjour Laetitia François, votre paiement par carte Discover terminée par 8721 a été enregistré le 2025-05-23.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Perret SA :
Objet : Facture #772728
Bonjour Christelle Laurent, votre paiement par carte Maestro terminée par 1811 a été enregistré le 2025-05-11.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Transaction #825641:
- Client : Andrée Hardy
- Montant : 5224 MAD
- Destinataire : IBAN FR0474560976682691390166602
- Date : 2025-03-17","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Document d'identité :
- Nom : Caroline Merle
- CIN : KM16579
- Date de naissance : 30/08/1944
- Adresse : rue Sébastien Loiseau, 46974 Petitjean","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Document d'identité :
- Nom : Étienne Le Maillot
- CIN : FW20196
- Date de naissance : 01/10/1968
- Adresse : 3, boulevard Lucas Leclercq, 95208 Vallet","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Document d'identité :
- Nom : Cécile Le Lucas
- CIN : YE34578
- Date de naissance : 15/11/1957
- Adresse : 3, rue Claude Collet, 97392 Grondin-les-Bains","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Christine Blondel
- CIN : AM02559
- Téléphone : +212688659133
- Adresse : 56, rue de Faure, 30700 Sainte Auguste-les-Bains
- Email : roland99@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Email de Lagarde :
Objet : Facture #839170
Bonjour Benoît Durand, votre paiement par carte Mastercard terminée par 6913 a été enregistré le 2025-05-25.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Transaction #168260:
- Client : Pierre Descamps
- Montant : 3352 MAD
- Destinataire : IBAN FR4717575215783066256771162
- Date : 2025-03-15","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Document d'identité :
- Nom : Éric-Frédéric Lemonnier
- CIN : GQ86555
- Date de naissance : 29/07/1921
- Adresse : 14, avenue de Tanguy, 73218 Boutin","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Michelle Laporte du Pires
- CIN : JF67255
- Téléphone : +212631132350
- Adresse : 43, avenue Océane Raynaud, 24607 Jourdanboeuf
- Email : dijouxdominique@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Transaction #415082:
- Client : Michelle Lebon
- Montant : 5238 MAD
- Destinataire : IBAN FR8547427947885117889702848
- Date : 2025-05-10","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Email de Traore :
Objet : Facture #574041
Bonjour Nathalie Schmitt, votre paiement par carte VISA 16 digit terminée par 6057 a été enregistré le 2025-05-13.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Guillaume de Pereira
- CIN : DP31536
- Date de naissance : 28/10/1959
- Adresse : 7, rue de Lelièvre, 94391 Lamydan","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Auguste Lamy-Charles
- CIN : XJ79678
- Téléphone : +212688541866
- Adresse : 217, avenue Leroy, 90184 Leroy-sur-Perrin
- Email : alexandremaury@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Email de Dos Santos :
Objet : Facture #91720
Bonjour Jacques Marchand, votre paiement par carte American Express terminée par 3515 a été enregistré le 2025-05-08.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Transaction #5219:
- Client : Monique Lejeune-Olivier
- Montant : 8007 MAD
- Destinataire : IBAN FR2454514792652442445481154
- Date : 2025-03-19","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Contrat de location :
- Locataire : Eugène Gonzalez du Paris
- CIN : WT37012
- Téléphone : +212695820229
- Adresse : 53, rue Aurélie Leroux, 81728 Traore-sur-Mer
- Email : margot27@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Email de Bourgeois S.A. :
Objet : Facture #857663
Bonjour François Dubois, votre paiement par carte JCB 16 digit terminée par 9881 a été enregistré le 2025-05-24.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Dominique Muller
- CIN : IU30552
- Date de naissance : 13/04/2007
- Adresse : 69, avenue Barbe, 85792 Petitjean-la-Forêt","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Simone Navarro
- CIN : WQ40248
- Téléphone : +212655829477
- Adresse : 66, boulevard Gabriel Vincent, 04461 Pichonnec
- Email : renee20@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : Michèle Le Launay
- CIN : IO81558
- Date de naissance : 06/05/1918
- Adresse : 9, boulevard Evrard, 06777 Brunet","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Email de Duval Riou SA :
Objet : Facture #563323
Bonjour Isaac Denis, votre paiement par carte VISA 13 digit terminée par 4450 a été enregistré le 2025-05-01.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Weber Salmon et Fils :
Objet : Facture #726864
Bonjour Thomas Rey, votre paiement par carte Discover terminée par 6003 a été enregistré le 2025-05-20.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Daniel Maillot S.A. :
Objet : Facture #564337
Bonjour Denis Hoarau-Jean, votre paiement par carte VISA 19 digit terminée par 7827 a été enregistré le 2025-05-19.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Contrat de location :
- Locataire : Jean-Philippe Morvan
- CIN : XK25832
- Téléphone : +212619963833
- Adresse : 72, boulevard Dupré, 45714 Langlois-sur-Bailly
- Email : pagesmichele@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Transaction #44664:
- Client : Georges Hubert de Lemoine
- Montant : 3489 MAD
- Destinataire : IBAN FR8750342796535319733479760
- Date : 2025-03-07","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Email de Grondin Hamon SARL :
Objet : Facture #587640
Bonjour Isaac-Paul Devaux, votre paiement par carte JCB 16 digit terminée par 4443 a été enregistré le 2025-05-14.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Éléonore Martinez
- CIN : LU66336
- Date de naissance : 19/06/1959
- Adresse : 26, rue Lucy Paul, 21152 Joseph","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Hélène Lefebvre
- CIN : TF53903
- Téléphone : +212687425178
- Adresse : 26, chemin Gabrielle Allain, 91418 Saint Charlotte-sur-Mer
- Email : adele50@example.net","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : Isabelle Parent
- CIN : CF19708
- Date de naissance : 07/02/1923
- Adresse : 18, chemin Patrick Parent, 24907 Saint Danielle","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Document d'identité :
- Nom : Catherine Renard
- CIN : UU70125
- Date de naissance : 02/08/1998
- Adresse : 63, rue Thomas Arnaud, 28811 Lamy","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Transaction #424336:
- Client : Catherine de la Pruvost
- Montant : 7343 MAD
- Destinataire : IBAN FR3915448217606528530419650
- Date : 2025-02-18","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Transaction #87657:
- Client : Raymond-Franck Coste
- Montant : 5051 MAD
- Destinataire : IBAN FR5329256135603005603988535
- Date : 2025-02-05","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Document d'identité :
- Nom : Gilbert-Jacques Camus
- CIN : TK41773
- Date de naissance : 21/06/2011
- Adresse : 8, rue Ledoux, 44824 Bonneaudan","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Transaction #672068:
- Client : Vincent-Émile Simon
- Montant : 1359 MAD
- Destinataire : IBAN FR2772460501993276394667116
- Date : 2025-02-15","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Transaction #495924:
- Client : Alphonse Wagner
- Montant : 9438 MAD
- Destinataire : IBAN FR1494561730983590274632723
- Date : 2025-01-20","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Transaction #472502:
- Client : Suzanne-Margaux Valette
- Montant : 2039 MAD
- Destinataire : IBAN FR4517002309429528377269610
- Date : 2025-04-23","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Contrat de location :
- Locataire : Joseph Gallet
- CIN : RU47111
- Téléphone : +212633647626
- Adresse : 608, rue Nguyen, 10489 Laporte
- Email : gfrancois@example.net","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Email de Roux :
Objet : Facture #904846
Bonjour Amélie Briand, votre paiement par carte VISA 13 digit terminée par 8938 a été enregistré le 2025-05-05.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Faure Lopez et Fils :
Objet : Facture #51820
Bonjour Benjamin de Diaz, votre paiement par carte JCB 15 digit terminée par 1853 a été enregistré le 2025-05-11.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Transaction #783282:
- Client : Christiane Briand
- Montant : 5407 MAD
- Destinataire : IBAN FR9719065054208723533462925
- Date : 2025-05-24","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Document d'identité :
- Nom : Grégoire Colin
- CIN : PG16173
- Date de naissance : 05/05/1968
- Adresse : 17, rue Maryse Courtois, 71642 Poirier-sur-Ribeiro","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Email de Leduc :
Objet : Facture #916411
Bonjour Henriette Rocher du Pottier, votre paiement par carte VISA 13 digit terminée par 4047 a été enregistré le 2025-05-13.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Contrat de location :
- Locataire : Françoise Durand
- CIN : FY46845
- Téléphone : +212641151569
- Adresse : 34, rue Schmitt, 88629 Saint Thomas
- Email : emmanuel73@example.net","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : Théodore Bernard
- CIN : IO15819
- Date de naissance : 23/11/1974
- Adresse : 4, rue Louis, 54409 Rouxboeuf","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Email de Durand Gaillard S.A.R.L. :
Objet : Facture #74060
Bonjour Auguste Ferrand, votre paiement par carte VISA 16 digit terminée par 7396 a été enregistré le 2025-05-24.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Vincent S.A.S. :
Objet : Facture #382805
Bonjour Arthur Seguin, votre paiement par carte American Express terminée par 7017 a été enregistré le 2025-05-09.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Christiane Martin
- CIN : HE45313
- Date de naissance : 23/10/1918
- Adresse : 3, rue Juliette Blondel, 40614 Royer-les-Bains","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Transaction #245090:
- Client : Lucas Dufour
- Montant : 7494 MAD
- Destinataire : IBAN FR0792610180433685874453054
- Date : 2025-05-05","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Contrat de location :
- Locataire : Astrid Carlier
- CIN : RJ38275
- Téléphone : +212620985867
- Adresse : 3, avenue de Gomez, 03504 Sainte Hortenseboeuf
- Email : fischermichelle@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Transaction #240297:
- Client : Aimée du Loiseau
- Montant : 5295 MAD
- Destinataire : IBAN FR0739847866873462947079818
- Date : 2025-01-13","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Email de Legendre Delahaye SARL :
Objet : Facture #224519
Bonjour Colette Guillou, votre paiement par carte JCB 16 digit terminée par 1377 a été enregistré le 2025-05-02.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Transaction #861713:
- Client : Auguste Gilbert
- Montant : 9133 MAD
- Destinataire : IBAN FR0727612455327003643476698
- Date : 2025-02-26","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Contrat de location :
- Locataire : Thibaut Petit
- CIN : EG09672
- Téléphone : +212613826498
- Adresse : 89, chemin Alix Lecoq, 10876 Peron-sur-Mer
- Email : guerinines@example.com","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Transaction #399903:
- Client : Suzanne Ribeiro
- Montant : 6979 MAD
- Destinataire : IBAN FR3294975455810838999356838
- Date : 2025-03-29","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Transaction #418089:
- Client : Jacques Salmon
- Montant : 6611 MAD
- Destinataire : IBAN FR5540494078656002895439551
- Date : 2025-04-07","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Document d'identité :
- Nom : Roland Dupont
- CIN : FK18050
- Date de naissance : 12/03/2016
- Adresse : 616, rue de Masse, 97362 Berger","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Email de Roy :
Objet : Facture #238785
Bonjour Bertrand du Collin, votre paiement par carte VISA 13 digit terminée par 8539 a été enregistré le 2025-05-19.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Transaction #566517:
- Client : Noémi Mace
- Montant : 8592 MAD
- Destinataire : IBAN FR3490844615311826819216404
- Date : 2025-04-24","['PERSON', 'IBAN_CODE', 'DATE_TIME']"
"Email de Raynaud :
Objet : Facture #353346
Bonjour Marcel-Augustin Dumont, votre paiement par carte Maestro terminée par 1592 a été enregistré le 2025-05-09.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Contrat de location :
- Locataire : Marguerite Didier-Besnard
- CIN : TI34967
- Téléphone : +212698695090
- Adresse : 97, rue Alexandre Legros, 55419 Saint Sylvie
- Email : antoine40@example.net","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Email de Gimenez :
Objet : Facture #133952
Bonjour Margaret Pereira, votre paiement par carte JCB 16 digit terminée par 1214 a été enregistré le 2025-05-03.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Email de Jean :
Objet : Facture #50269
Bonjour Monique Hubert de la Noël, votre paiement par carte JCB 15 digit terminée par 2100 a été enregistré le 2025-05-20.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Pierre de Rodrigues
- CIN : PE03675
- Date de naissance : 12/01/1928
- Adresse : 1, chemin de Bazin, 07477 Rousset-sur-Maillet","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Véronique Albert de la Bonnin
- CIN : KA46151
- Téléphone : +212671918416
- Adresse : 14, rue Sanchez, 76388 Chevalier
- Email : madeleine26@example.net","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Email de Da Silva Leroux et Fils :
Objet : Facture #621484
Bonjour Geneviève Texier, votre paiement par carte VISA 19 digit terminée par 5472 a été enregistré le 2025-05-12.","['PERSON', 'CREDIT_CARD', 'DATE_TIME']"
"Document d'identité :
- Nom : Timothée Torres
- CIN : HM09355
- Date de naissance : 20/03/1965
- Adresse : chemin de Lecoq, 25105 Dupuis","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Contrat de location :
- Locataire : Nathalie Renault
- CIN : DP06992
- Téléphone : +212614249961
- Adresse : 264, rue Henri Schneider, 21610 Saint Susan
- Email : marchalcecile@example.org","['PERSON', 'ID_MAROC', 'PHONE_NUMBER', 'LOCATION', 'EMAIL_ADDRESS']"
"Document d'identité :
- Nom : Gilbert Reynaud
- CIN : TF88568
- Date de naissance : 28/07/1978
- Adresse : 243, chemin Anne Laine, 39565 Mahenec","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
"Document d'identité :
- Nom : Cécile Fernandes
- CIN : DJ48307
- Date de naissance : 07/11/1965
- Adresse : 215, chemin Vaillant, 59103 Mauryboeuf","['PERSON', 'ID_MAROC', 'DATE_TIME', 'LOCATION']"
